Date,Open,High,Low,Close,Adj Close,Volume
2015-01-01,104.239998,105.339996,87.360001,89.080002,89.080002,379702000
2015-02-01,91.129997,91.879997,83.879997,85.120003,85.120003,254007500
2015-03-01,85.000000,87.040001,80.029999,83.239998,83.239998,389178100
2015-04-01,83.370003,87.690002,80.440002,81.290001,81.290001,337200600
2015-05-01,81.029999,95.059998,77.769997,89.320000,89.320000,457293200
2015-06-01,90.089996,91.599998,80.800003,82.269997,82.269997,248041200
2015-07-01,82.599998,85.379997,76.209999,78.339996,78.339996,255413600
2015-08-01,78.199997,80.989998,58.000000,66.120003,66.120003,381320300
2015-09-01,64.379997,68.080002,57.200001,58.970001,58.970001,455445000
2015-10-01,59.500000,84.440002,58.200001,83.830002,83.830002,387890900
2015-11-01,83.519997,86.419998,75.639999,84.080002,84.080002,466058900
2015-12-01,83.769997,85.820000,78.989998,81.269997,81.269997,313918900
2016-01-01,78.180000,78.680000,65.339996,67.029999,67.029999,350907700
2016-02-01,66.500000,70.580002,59.250000,68.809998,68.809998,314557500
2016-03-01,70.019997,79.839996,69.860001,79.029999,79.029999,231368600
2016-04-01,78.239998,81.779999,75.660004,76.940002,76.940002,215883400
2016-05-01,76.889999,82.029999,74.120003,82.000000,82.000000,376897900
2016-06-01,82.000000,82.000000,73.300003,79.529999,79.529999,375743600
2016-07-01,79.120003,85.000000,77.680000,82.480003,82.480003,205205900
2016-08-01,82.790001,98.860001,82.589996,97.190002,97.190002,450586700
2016-09-01,97.300003,109.870003,97.000000,105.790001,105.790001,420599700
2016-10-01,105.449997,109.000000,99.000000,101.690002,101.690002,240132000
2016-11-01,100.430000,104.099998,87.879997,94.019997,94.019997,330458400
2016-12-01,94.000000,94.055000,86.010002,87.809998,87.809998,218116600
2017-01-01,89.000000,104.570000,88.080002,101.309998,101.309998,239221800
2017-02-01,102.070000,105.199997,100.019997,102.900002,102.900002,160503400
2017-03-01,103.680000,110.449997,102.099998,107.830002,107.830002,205442400
2017-04-01,108.849998,115.989998,106.760002,115.500000,115.500000,172115600
2017-05-01,115.629997,126.400002,114.000000,122.459999,122.459999,277888800
2017-06-01,122.820000,148.289993,122.260002,140.899994,140.899994,553042600
2017-07-01,141.750000,160.389999,139.494995,154.949997,154.949997,273542200
2017-08-01,156.250000,177.000000,147.500000,171.740005,171.740005,473139700
2017-09-01,171.990005,180.869995,166.789993,172.710007,172.710007,363859100
2017-10-01,174.570007,185.119995,168.580002,184.889999,184.889999,337678900
2017-11-01,187.880005,191.750000,173.619995,177.080002,177.080002,420233600
2017-12-01,175.270004,180.679993,164.250000,172.429993,172.429993,416246000
2018-01-01,176.399002,206.199997,175.699997,204.289993,204.289993,445133200
2018-02-01,192.750000,199.490005,168.880005,186.139999,186.139999,444924200
2018-03-01,186.179993,201.500000,175.449997,183.539993,183.539993,382712800
2018-04-01,182.809998,183.630005,166.130005,178.539993,178.539993,323468000
2018-05-01,177.580002,202.279999,175.770004,198.009995,198.009995,412790400
2018-06-01,199.500000,211.699997,182.039993,185.529999,185.529999,408863800
2018-07-01,181.660004,198.350006,181.059998,187.229996,187.229996,321778400
2018-08-01,186.000000,189.059998,165.389999,175.009995,175.009995,605639200
2018-09-01,173.500000,173.949997,152.850006,164.759995,164.759995,433303500
2018-10-01,165.919998,165.949997,130.059998,142.279999,142.279999,544315500
2018-11-01,144.979996,160.860001,138.619995,160.860001,160.860001,456396300
2018-12-01,168.639999,168.800003,129.770004,137.070007,137.070007,344658200
2019-01-01,134.130005,169.729996,129.830002,168.490005,168.490005,361418500
2019-02-01,168.000000,184.929993,163.750000,183.029999,183.029999,223664600
2019-03-01,185.089996,188.080002,171.565002,182.449997,182.449997,233412700
2019-04-01,185.089996,189.789993,176.759995,185.570007,185.570007,260675200
2019-05-01,186.750000,195.720001,147.949997,149.259995,149.259995,511785500
2019-06-01,149.600006,171.979996,148.845001,169.449997,169.449997,431880100
2019-07-01,175.865005,179.880005,165.000000,173.110001,173.110001,356259200
2019-08-01,174.539993,178.800003,151.850006,175.029999,175.029999,404522000
2019-09-01,173.000000,184.130005,163.149994,167.229996,167.229996,246313700
2019-10-01,168.009995,179.639999,161.679993,176.669998,176.669998,260136100
2019-11-01,179.009995,200.979996,176.059998,200.000000,200.000000,408551100
2019-12-01,198.580002,218.110001,189.850006,212.100006,212.100006,300787300
2020-01-01,216.600006,231.139999,199.500000,206.589996,206.589996,304096100
2020-02-01,208.669998,226.699997,198.561005,208.000000,208.000000,329489900
2020-03-01,208.589996,215.149994,169.949997,194.479996,194.479996,440289600
2020-04-01,189.500000,216.100006,185.039993,202.669998,202.669998,329699500
2020-05-01,195.750000,221.156998,189.529999,207.389999,207.389999,504318700
2020-06-01,205.899994,231.029999,203.940002,215.699997,215.699997,334431100
2020-07-01,215.809998,268.000000,214.740005,251.020004,251.020004,426341000
2020-08-01,254.020004,292.480011,246.100006,287.029999,287.029999,309690400
2020-09-01,289.200012,299.000000,264.559998,293.980011,293.980011,235249900
2020-10-01,295.260010,319.320007,284.880005,304.690002,304.690002,278181600
2020-11-01,310.950012,311.440002,252.550003,263.359985,263.359985,585599100
2020-12-01,265.470001,271.299988,211.229996,232.729996,232.729996,574979800
2021-01-01,226.500000,269.000000,220.089996,253.830002,253.830002,493568500
2021-02-01,258.799988,274.290009,237.649994,237.759995,237.759995,302405900
2021-03-01,241.050003,242.789993,220.419998,226.729996,226.729996,375484500
2021-04-01,230.679993,245.690002,221.320007,230.949997,230.949997,329060500
2021-05-01,231.270004,236.169998,204.389999,213.960007,213.960007,362051200
2021-06-01,223.020004,230.889999,208.225998,226.779999,226.779999,277271400
2021-07-01,228.070007,228.850006,179.669998,195.190002,195.190002,452580500
2021-08-01,196.270004,203.274994,152.800003,166.990005,166.990005,659062400
2021-09-01,169.559998,178.179993,144.440002,148.050003,148.050003,483785600
2021-10-01,147.089996,182.089996,138.429993,164.940002,164.940002,472884900
2021-11-01,165.839996,171.895004,126.129997,127.529999,127.529999,434071600
2021-12-01,128.369995,129.449997,108.699997,118.790001,118.790001,586918900
2022-01-01,119.379997,138.699997,110.059998,125.790001,125.790001,490914900
2022-02-01,124.809998,129.399994,100.019997,105.190002,105.190002,367386900
2022-03-01,105.849998,124.111000,73.279999,108.800003,108.800003,1155393100
2022-04-01,117.620003,118.949997,81.800003,97.089996,97.089996,540885100
2022-05-01,96.410004,102.690002,78.010002,96.050003,96.050003,482692200
2022-06-01,95.900002,121.379997,91.879997,113.680000,113.680000,721616600
2022-07-01,113.629997,125.839996,89.110001,89.370003,89.370003,504613300
2022-08-01,89.190002,104.849998,86.709999,95.410004,95.410004,509993200
2022-09-01,92.750000,94.839996,76.279999,79.989998,79.989998,341823600
2022-10-01,79.760002,86.290001,58.009998,63.580002,63.580002,534488600
2022-11-01,68.010002,89.625000,63.400002,87.559998,87.559998,646646800
2022-12-01,84.349998,94.980003,84.260002,88.089996,88.089996,436402100
2023-01-01,91.110001,121.300003,90.750000,110.199997,110.199997,439823900
2023-02-01,111.860001,113.949997,92.129997,94.160004,94.160004,319840900
